Repumper Detuning [Gamma],Cooler Detuning [Gamma],Standard deviation Atomnumber
-0.4197952218430096,2.0614334470989735,18897065.0
-0.4197952218430096,2.255631399317404,24640095.0
-0.4197952218430096,2.449829351535835,31545330.0
-0.4197952218430096,2.644027303754266,36810395.0
-0.4197952218430096,2.838225255972697,34714705.0
-0.4197952218430096,3.032423208191123,50462295.0
-0.4197952218430096,3.226621160409554,60480700.0
-0.4197952218430096,3.420819112627985,66908430.0
-0.4197952218430096,3.6150170648464157,76775640.0
-0.4197952218430096,3.809215017064847,98957970.0
-0.4197952218430096,4.003412969283273,113247190.0
-0.4197952218430096,4.1976109215017035,136917545.0
-0.4197952218430096,4.391808873720135,151343270.0
-0.4197952218430096,4.586006825938566,174883345.0
-0.4197952218430096,4.780204778156996,196388905.0
-0.4197952218430096,4.974402730375423,227314905.0
-0.4197952218430096,5.168600682593853,252139025.0
-0.4197952218430096,5.362798634812284,264994335.0
-0.4197952218430096,5.556996587030715,288332190.0
-0.4197952218430096,5.751194539249146,303812780.0
-0.4197952218430096,5.945392491467577,315283190.0
-0.4197952218430096,6.139590443686008,332227855.0
-0.4197952218430096,6.333788395904434,356767370.0
-0.4197952218430096,6.527986348122865,370206630.0
-0.4197952218430096,6.722184300341296,370816705.0
-0.4197952218430096,6.9163822525597265,342169685.0
-0.4197952218430096,7.110580204778158,287779785.0
-0.4197952218430096,7.3047781569965835,242602675.0
-0.4197952218430096,7.498976109215015,224213330.0
-0.4197952218430096,7.693174061433446,228855130.0
-0.4197952218430096,7.887372013651876,236467165.0
-0.4197952218430096,8.081569965870308,221848435.0
-0.4197952218430096,8.275767918088734,203259520.0
-0.4197952218430096,8.469965870307165,183302090.0
-0.4197952218430096,8.664163822525595,147746055.0
-0.4197952218430096,8.858361774744026,121985195.0
-0.4197952218430096,9.052559726962457,101411360.0
-0.4197952218430096,9.246757679180888,77784145.0
-0.4197952218430096,9.440955631399314,60516240.0
-0.4197952218430096,9.635153583617745,33686645.0
-0.07372013651877413,2.0614334470989735,20540340.0
-0.07372013651877413,2.255631399317404,28770020.0
-0.07372013651877413,2.449829351535835,42315365.0
-0.07372013651877413,2.644027303754266,41474015.0
-0.07372013651877413,2.838225255972697,46139020.0
-0.07372013651877413,3.032423208191123,56234000.0
-0.07372013651877413,3.226621160409554,61389610.0
-0.07372013651877413,3.420819112627985,75836960.0
-0.07372013651877413,3.6150170648464157,92073760.0
-0.07372013651877413,3.809215017064847,111080670.0
-0.07372013651877413,4.003412969283273,140316680.0
-0.07372013651877413,4.1976109215017035,156127155.0
-0.07372013651877413,4.391808873720135,189361055.0
-0.07372013651877413,4.586006825938566,213851440.0
-0.07372013651877413,4.780204778156996,247280055.0
-0.07372013651877413,4.974402730375423,280567700.0
-0.07372013651877413,5.168600682593853,320338275.0
-0.07372013651877413,5.362798634812284,349104745.0
-0.07372013651877413,5.556996587030715,384652840.0
-0.07372013651877413,5.751194539249146,419851410.0
-0.07372013651877413,5.945392491467577,445193035.0
